entry,conditioning,generic,type,sample,outcome,detail
"fit:rbart","class=rbart","as_draws_df","","","accepted","draws_df/draws/tbl_df/tbl/data.frame 1x5 dimnames=[{1},{sigma,tau,.chain,...}] attrs=[row.names]"
"entry-pair:dbartsSpec-vs-dbarts","family=auto","family-resolution","","","agree","dbartsSpec: ok=TRUE family=gaussian | dbarts: ok=TRUE family=gaussian"
"entry-pair:dbartsSpec-vs-dbarts","family=gaussian","family-resolution","","","agree","dbartsSpec: ok=TRUE family=gaussian | dbarts: ok=TRUE family=gaussian"
"entry-pair:dbartsSpec-vs-dbarts","family=probit","family-resolution","","","agree","dbartsSpec: ok=TRUE family=probit | dbarts: ok=TRUE family=probit"
"entry-pair:dbartsSpec-vs-dbarts","family=logistic","family-resolution","","","agree","dbartsSpec: ok=TRUE family=logistic | dbarts: ok=TRUE family=logistic"
"entry-pair:dbartsSpec-vs-dbarts","family=multinomial","family-resolution","","","DISAGREE","dbartsSpec: ok=FALSE family=family ""multinomial"" cannot fit a 3-level factor response; a 3+-level factor is multinomial (bart2(family = ""multinomial"")) | dbarts: ok=TRUE family=multinomial"
"entry-pair:dbartsSpec-vs-dbarts","family=ordinal","family-resolution","","","agree","dbartsSpec: ok=TRUE family=ordinal | dbarts: ok=TRUE family=ordinal"
"entry-pair:dbartsSpec-vs-dbarts","family=nbinom","family-resolution","","","agree","dbartsSpec: ok=TRUE family=nbinom | dbarts: ok=TRUE family=nbinom"
"entry-pair:dbarts-vs-bart2","weights=NA","weights-validation","","","agree","dbarts: 'weights' cannot be NA | bart2: 'weights' cannot be NA"
"entry-pair:bart2-vs-rbart_vi-vs-bart","n.thin/keepevery = -1","negative-thin-validation","","","agree(all refuse)","bart2: 'n.thin' must be a positive integer | rbart_vi: 'n.thin' must be a positive integer | bart: 'n.thin' must be a positive integer"
"dbartsSampler-method","gaussian sampler","run","","","accepted","list len8"
"dbartsSampler-method","gaussian sampler","sampleTreesFromPrior","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","sampleNodeParametersFromPrior","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","growFromRoot","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setControl","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setModel","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setData","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setResponse","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setOffset","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setWeights","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setCounts","","","refused","$setCounts is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"dbartsSampler-method","gaussian sampler","setCategoryOffset","","","refused","$setCategoryOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"dbartsSampler-method","gaussian sampler","setCategoryTestOffset","","","refused","$setCategoryTestOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"dbartsSampler-method","gaussian sampler","setActiveRows","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setForestWeights","","","refused","bartcore_setForestWeights: requires a sampler that carries forest amplitudes"
"dbartsSampler-method","gaussian sampler","setForestBasis","","","refused","forest index out of range"
"dbartsSampler-method","gaussian sampler","setSigma","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setPredictor","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setCutPoints","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setTestPredictor","","","refused","'x.test' must have 1 column(s)"
"dbartsSampler-method","gaussian sampler","setTestPredictorAndOffset","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setTestOffset","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setCalibration","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","installTrees","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","getDispersion","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","getFitsWithoutOffset","","","accepted","matrix/array 40x1"
"dbartsSampler-method","gaussian sampler","copy","","","accepted","dbartsSampler len1"
"dbartsSampler-method","gaussian sampler","predict","","","refused","bartcore_predict: the saved-tree store holds no recorded draws; run the sampler with keepTrees on before reading from it"
"dbartsSampler-method","gaussian sampler","predictForests","","","refused","bartcore_predictPerForest: this sampler reports no per-forest fits; only a coupling that composes its forests through scalar amplitude glue carries them"
"dbartsSampler-method","gaussian sampler","getLatents","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","getSigmas","","","accepted","numeric len1"
"dbartsSampler-method","gaussian sampler","getSumsOfSquaredResiduals","","","accepted","numeric len1"
"dbartsSampler-method","gaussian sampler","getForestFits","","","accepted","matrix/array 40x1"
"dbartsSampler-method","gaussian sampler","getForestAmplitudes","","","refused","forest amplitudes require a sampler whose forests carry them"
"dbartsSampler-method","gaussian sampler","getForestVariableCounts","","","accepted","matrix/array 3x1"
"dbartsSampler-method","gaussian sampler","getCalibration","","","accepted","matrix/array 1x12"
"dbartsSampler-method","gaussian sampler","storeState","","","accepted","NULL"
"dbartsSampler-method","gaussian sampler","setState","","","refused","'state' must inherit from bartcoreState"
"dbartsSampler-method","gaussian sampler","printTrees","","","refused","bartcore_printTrees: the saved-tree store holds no recorded draws; run the sampler with keepTrees on before reading from it"
"dbartsSampler-method","gaussian sampler","getTrees","","","refused","bartcore_getTrees: the saved-tree store holds no recorded draws; run the sampler with keepTrees on before reading from it"
"dbartsSampler-method","gaussian sampler","plotTree","","","refused","bartcore_getTrees: the saved-tree store holds no recorded draws; run the sampler with keepTrees on before reading from it"
