sampler,phase,method,outcome,detail
"amplitude","mutate","setCounts","refused","$setCounts is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"amplitude","mutate","setCategoryOffset","refused","$setCategoryOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"amplitude","mutate","setCategoryTestOffset","refused","$setCategoryTestOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"amplitude","mutate","setActiveRows","accepted","NULL"
"amplitude","mutate","setForestWeights","accepted","NULL"
"amplitude","mutate","setForestBasis","error-without-reason","object 'x1' not found"
"amplitude","mutate","setSigma","accepted","NULL"
"amplitude","mutate","setPredictor","accepted","NULL"
"amplitude","mutate","setCutPoints","accepted","NULL"
"amplitude","mutate","setTestPredictorAndOffset","refused","bartcore_setTestPredictorAndOffset: this sampler's forest amplitudes have no off-sample basis, so its combined test fits are undefined; replay the forests separately and recombine them with the amplitude glue instead"
"amplitude","mutate","setTestPredictor","refused","argument is of length zero"
"amplitude","mutate","setTestOffset","refused","when test matrix is NULL, test offset must be as well"
"amplitude","mutate","setCalibration","refused","setCalibration does not support a sampler that carries forest amplitudes: every forest's leaf scale comes from the multi-forest calibration map; make a new sampler instead"
"amplitude","mutate","installTrees","accepted","NULL"
"amplitude","mutate","sampleTreesFromPrior","accepted","NULL"
"amplitude","mutate","sampleNodeParametersFromPrior","accepted","NULL"
"amplitude","mutate","growFromRoot","accepted","NULL"
"amplitude","mutate","setState","refused","'state' must inherit from bartcoreState"
"amplitude","mutate","adoptPointer","accepted","NULL"
"amplitude","mutate","run(0,2) after mutation","accepted","list len10"
"hetero","build","construct","accepted","dbartsSampler len1"
"hetero","run","run(3,5)","accepted","list len10"
"hetero","read","predict","accepted","list len2"
"hetero","read","predictForests","refused","bartcore_predictPerForest: this sampler reports no per-forest fits; only a coupling that composes its forests through scalar amplitude glue carries them"
"hetero","read","getTrees","accepted","data.frame 62x5"
"hetero","read","printTrees","accepted","NULL"
"hetero","read","plotTree","accepted","NULL"
"hetero","read","getDispersion","accepted","NULL"
"hetero","read","getFitsWithoutOffset","accepted","matrix/array 40x1"
"hetero","read","getLatents","accepted","NULL"
"hetero","read","getSigmas","accepted","numeric len1"
"hetero","read","getSumsOfSquaredResiduals","accepted","numeric len1"
"hetero","read","getForestFits","accepted","matrix/array 40x1"
"hetero","read","getForestAmplitudes","refused","forest amplitudes require a sampler whose forests carry them"
"hetero","read","getForestVariableCounts","accepted","matrix/array 3x1"
"hetero","read","getCalibration","accepted","matrix/array 1x12"
"hetero","read","copy","accepted","dbartsSampler len1"
"hetero","read","show","accepted","NULL"
"hetero","read","extract(S3)","accepted","matrix/array 40x3"
"hetero","read","plotTree(S3)","accepted","NULL"
"hetero","read","storeState","accepted","NULL"
"hetero","read","getPointer","accepted","externalptr len1"
"hetero","mutate","setControl","accepted","NULL"
"hetero","mutate","setModel","accepted","NULL"
"hetero","mutate","setData","accepted","NULL"
"hetero","mutate","setResponse","accepted","NULL"
"hetero","mutate","setOffset","accepted","NULL"
"hetero","mutate","setWeights","accepted","NULL"
"hetero","mutate","setCounts","refused","$setCounts is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"hetero","mutate","setCategoryOffset","refused","$setCategoryOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"hetero","mutate","setCategoryTestOffset","refused","$setCategoryTestOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"hetero","mutate","setActiveRows","accepted","NULL"
"hetero","mutate","setForestWeights","refused","bartcore_setForestWeights: requires a sampler that carries forest amplitudes"
"hetero","mutate","setForestBasis","refused","forest index out of range"
"hetero","mutate","setSigma","refused","bartcore_setSigma: this sampler's variance forest owns the residual scale; there is no single sigma to set"
"hetero","mutate","setPredictor","accepted","NULL"
"hetero","mutate","setCutPoints","accepted","NULL"
"hetero","mutate","setTestPredictorAndOffset","accepted","NULL"
"hetero","mutate","setTestPredictor","accepted","NULL"
"hetero","mutate","setTestOffset","accepted","NULL"
"hetero","mutate","setCalibration","accepted","NULL"
"hetero","mutate","installTrees","accepted","NULL"
"hetero","mutate","sampleTreesFromPrior","accepted","NULL"
"hetero","mutate","sampleNodeParametersFromPrior","accepted","NULL"
"hetero","mutate","growFromRoot","accepted","NULL"
"hetero","mutate","setState","refused","'state' must inherit from bartcoreState"
"hetero","mutate","adoptPointer","accepted","NULL"
"hetero","mutate","run(0,2) after mutation","accepted","list len10"
"wlogistic","build","construct","accepted","dbartsSampler len1"
"wlogistic","run","run(3,5)","accepted","list len8"
"wlogistic","read","predict","accepted","matrix/array 10x5"
